strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Wuhan/IPBCAMS-WH-04/2019	2019-12-30		19A	China		Hubei		202001	MT019532	Homo sapiens	B	Older	Asia		Ren et al				
NPL/61-TW/2020	2020-01-13		19A	Nepal		Nepal		202003	MT072688	Homo sapiens	B	Older	Asia		Bastola et al				
AUS/NT02/2020	2020-02-21		19A	Australia		Northern Territory		202008	MT641646	Homo sapiens	B	Older	Oceania		Caly et al H		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
CHN/Hefei-363/2020	2020-02-09		19A	China		China		202007	MZ824633	Homo sapiens	B.28	One week ago	Asia		Cheng et al A				
AUS/NT01/2020	2020-02-21		19A	Australia		Northern Territory		202008	MT641645	Homo sapiens	B	Older	Oceania		Caly et al I		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
Japan/DP0803/2020	2020-02-17		19A	Japan		Japan		202008	LC571037	Homo sapiens	B	Older	Asia		Sekizuka et al				
AUS/NT05/2020	2020-02-24		19A	Australia		Northern Territory		202009	MT641648	Homo sapiens	B.5	Older	Oceania		Caly et al J		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
Mesocricetusauratus/HKG/8_P2/2020	2020-05-15		19A	Hong Kong		Hong Kong		202020	MT835139	Mesocricetus auratus	B	Older	Asia		Chen et al				
AUS/NT04/2020	2020-02-22		19A	Australia		Northern Territory		202008	MT641647	Homo sapiens	B.28	Older	Oceania		Caly et al K		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC237/2020	2020-03-21		19A	Australia		Victoria		202012	MT451135	Homo sapiens	B.6	Older	Oceania		Seemann et al D		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
TWN/CGMH-CGU-27/2020	2020-04-19		19A	Taiwan		Taiwan		202017	MT517437	Homo sapiens	B.6	Older	Asia		Tsao et al C				
PHL/GS/2020	2020-04-03		19A	Philippines		Manila		202014	MT919768	Homo sapiens	B.6	Older	Asia		Velasco et al A				
GMB/GC19-026/2020	2020-03-21		19A	Gambia		Gambia		202012	MZ040129	Homo sapiens	B.6	Older	Africa		Kanteh et al A				
PAK/SARS-CoV-2_108/2020	2020-04-16		19A	Pakistan		Islamabad		202016	MW422089	Homo sapiens	B.6	Older	Asia		Badar et al A				
MYS/189332/2020	2020-03-20		19A	Malaysia		Malaysia		202012	MT372481	Homo sapiens	B.6.6	Older	Asia		Chan et al A				
AUS/VIC1189/2020	2020-03-23		19A	Australia		Victoria		202013	MT451792	Homo sapiens	B.6	Older	Oceania		Seemann et al E		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
TLS/TL07/2020	2020-04-11		19A	Timor-Leste		Timor-Leste		202015	MT641768	Homo sapiens	B.6	Older	Asia		Caly et al L		National Health Laboratory, Timor-Leste	The Peter Doherty Institute for Infection and Immunity	
MYS/IIUM316/2020	2020-04-09	1.00	19A	Malaysia		Pahang		202015	MW079429	Homo sapiens	B.6	Older	Asia		Ahmad et al A				
Iceland/13/2020	2020-02-27	1.00	19A	Iceland		Iceland		202009	OU161584	Homo sapiens	B	Older	Europe		Jonsson et al A				
GEO/MM202054/2020	2020-02-27		19A	Georgia		Georgia (Asia)		202009	MT231246	Homo sapiens	B	Older	Asia		Kotorashvili et al A				
GEO/MM2020468/2020	2020-03-10		19A	Georgia		Georgia (Asia)		202011	MT231249	Homo sapiens	B	Older	Asia		Kotorashvili et al B				
KOR/BA-ACH_2719/2020	2020-02-29		19A	South Korea		South Korea		202009	MT304476	Homo sapiens	B.41	Older	Asia		Queen et al A				
England/CAMB-84778/2020	2020-02-28		19A	United Kingdom		England		202009	FR996789	Homo sapiens	B.61	Older	Europe		Meredith et al		Department of Pathology, University of Cambridge	EBI	
AUS/NT14/2020	2020-03-26		19A	Australia		Northern Territory		202013	MT641659	Homo sapiens	B.40	Older	Oceania		Caly et al M		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
KEN/D6/2020	2020-03-17		19A	Kenya		Kenya		202012	MT549878	Homo sapiens	B.40	Older	Africa		Matoke-Muhia et al				
POL/PL_MCB_13/2020	2020-04-07		19A	Poland		Poland		202015	MW273795	Homo sapiens	B.40	Older	Europe		Kowalski et al A				
GRC/53_38017/2020	2020-04-04		19A	Greece		Athens		202014	MT459847	Homo sapiens	B.40	Older	Europe		Kassela et al A				
FIN/4/2020	2020-03-16		19A	Finland		Finland		202012	MZ683498	Homo sapiens	B.28	One month ago	Europe		Jiang et al				
JOR/SEARCH-0338-JOR/2020	2020-04-06		19A	Jordan		Amman		202015	MT811570	Homo sapiens	B.28	Older	Asia		Abu-Dayyeh et al A		Biolab Diagnostic Laboratories	The Scripps Research Institute	
BRA/SP02/2020	2020-02-28		19A	Brazil		Brazil		202009	MT126808	Homo sapiens	B	Older	South America		Amgarten et al				
BRA/SP02cc/2020	2020-03-18	1.00	19A	Brazil		Brazil		202012	MT350282	Homo sapiens	B	Older	South America		Malta et al A				
TLS/TL25/2020	2020-03-30		19A	Timor-Leste		Timor-Leste		202014	MT641778	Homo sapiens	B.35	Older	Asia		Caly et al N		National Health Laboratory, Timor-Leste	The Peter Doherty Institute for Infection and Immunity	
JOR/SEARCH-0035-JOR/2020	2020-03-30		19A	Jordan		Amman		202014	MT811547	Homo sapiens	B.35	Older	Asia		Abu-Dayyeh et al B		Biolab Diagnostic Laboratories	The Scripps Research Institute	
AUS/TAS71/2020	2020-03-17		19A	Australia		Tasmania		202012	MT973405	Homo sapiens	B.1	Older	Oceania		Sait et al A		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
TWN/CGMH-CGU-09/2020	2020-03-13		19A	Taiwan		Taiwan		202011	MT374105	Homo sapiens	B	Older	Asia		Gong et al				
USA/TX-CDC-TX1/2020	2020-02-11		19B	USA		Texas		202007	MT106054	Homo sapiens	A	Older	North America		Queen et al B				
IND/166/2020	2020-01-31		19B	India		Kerala		202005	MT050493	Homo sapiens	B	Older	Asia		Potdar et al				
KHM/Kunming_kms-2/2020	2020-03-21		19B	Cambodia		Phnom Penh		202012	MW341443	Homo sapiens	A.6	Older	Asia		Li et al A				
USA/COVID20-0050/2020	2020-03-26		19B	USA		South Carolina		202013	MT764178	Homo sapiens	A.3	Older	North America		Flores et al A				
USA/GA-QDX-122/2020	2020-03-13		19B	USA		Georgia		202011	MT614530	Homo sapiens	A	Older	North America		Rosenthal et al B		Quest Diagnostics	Quest Diagnostics	
AUS/VIC103/2020	2020-03-17		19B	Australia		Victoria		202012	MT451013	Homo sapiens	A	Older	Oceania		Seemann et al F		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/NT18/2020	2020-03-23		19B	Australia		Northern Territory		202013	MT641662	Homo sapiens	A	Older	Oceania		Caly et al O		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
VEN/1Z/2020	2020-03-16	1.00	19B	Venezuela		Venezuela		202012	MT907515	Homo sapiens	A.2	Older	South America		Loureiro et al A				
PER/covper069/2020	2020-03-18		19B	Peru		Peru		202012	MW030209	Homo sapiens	A.2	Older	South America		Juscamayta et al A				
AUS/TAS35/2020	2020-04-11		19B	Australia		Tasmania		202015	MT973364	Homo sapiens	A.2.2	Older	Oceania		Sait et al B		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/NT08/2020	2020-03-20		19B	Australia		Northern Territory		202012	MT641654	Homo sapiens	A.2.2	Older	Oceania		Caly et al P		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS116/2020	2020-03-20		19B	Australia		Tasmania		202012	MT973446	Homo sapiens	A.2.2	Older	Oceania		Sait et al C		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS158/2020	2020-05-03	1.00	19B	Australia		Tasmania		202019	MT973468	Homo sapiens	A.2.2	Older	Oceania		Sait et al D		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS259/2020	2020-05-06		19B	Australia		Tasmania		202019	MT973325	Homo sapiens	A.2.2	Older	Oceania		Sait et al E		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS271/2020	2020-04-13		19B	Australia		Tasmania		202016	MT973337	Homo sapiens	A.2.2	Older	Oceania		Sait et al F		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS199/2020	2020-04-21		19B	Australia		Tasmania		202017	MT973490	Homo sapiens	A.2.2	Older	Oceania		Sait et al G		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS251/2020	2020-04-23		19B	Australia		Tasmania		202017	MT973320	Homo sapiens	A.2.2	Older	Oceania		Sait et al H		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS260/2020	2020-05-08		19B	Australia		Tasmania		202019	MT973326	Homo sapiens	A.2.2	Older	Oceania		Sait et al I		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS47/2020	2020-04-08		19B	Australia		Tasmania		202015	MT973382	Homo sapiens	A.2.2	Older	Oceania		Sait et al J		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS266/2020	2020-04-10		19B	Australia		Tasmania		202015	MT973332	Homo sapiens	A.2.2	Older	Oceania		Sait et al K		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS02/2020	2020-04-11		19B	Australia		Tasmania		202015	MT973346	Homo sapiens	A.2.2	Older	Oceania		Sait et al L		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS23/2020	2020-04-13		19B	Australia		Tasmania		202016	MT973357	Homo sapiens	A.2.2	Older	Oceania		Sait et al M		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS29/2020	2020-04-12		19B	Australia		Tasmania		202016	MT973356	Homo sapiens	A.2.2	Older	Oceania		Sait et al N		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS10/2020	2020-04-13		19B	Australia		Tasmania		202016	MT973355	Homo sapiens	A.2.2	Older	Oceania		Sait et al O		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS171/2020	2020-04-20		19B	Australia		Tasmania		202017	MT973475	Homo sapiens	A.2.2	Older	Oceania		Sait et al P		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS166/2020	2020-05-01		19B	Australia		Tasmania		202018	MT973473	Homo sapiens	A.2.2	Older	Oceania		Sait et al Q		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
BEL/GHB-03021/2020	2020-02-03	2.00	19B	Belgium		Belgium		202006	MW368439	Homo sapiens	A	Older	Europe		Baggen et al				
KOR/KCDC06/2020	2020-01-30		19B	South Korea		South Korea		202005	MT134007	Homo sapiens	A	Older	Asia		Kim et al B				
KOR/CNUHV03-CA22/2020	2020-05-20	2.00	19B	South Korea		South Korea		202021	MT810119	Homo sapiens	A	Older	Asia		Seo et al				
LR883995	2020-03-12		19B	Spain		Spain		202011	LR883995	Homo sapiens	A.5	Older	Europe		Viedma et al A		Hospital Universitario12 de Octubre	EBI	
LR884163	2020-02-27		19B	Spain		Spain		202009	LR884163	Homo sapiens	A.5	Older	Europe		Viedma et al B		Hospital Universitario La Paz	EBI	
COL/79256_Antioquia/2020	2020-03-11		19B	Colombia		Antioquia		202011	MT256924	Homo sapiens	A.5	Older	South America		Mercado-Reyes et al				
URY/Mdeo-1/2020	2020-03-13		19B	Uruguay		Uruguay		202011	MT466071	Homo sapiens	A.5	Older	South America		Panzera et al A				
AUS/TAS221/2020	2020-03-26		19B	Australia		Tasmania		202013	MT973295	Homo sapiens	A.1	Older	Oceania		Sait et al R		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
USA/WA-S257/2020	2020-02-25		19B	USA		Washington		202009	MT632542	Homo sapiens	A.1	Older	North America		Nickerson et al A				
USA/WA-S553/2020	2020-03-31		19B	USA		Washington		202014	MT632830	Homo sapiens	A.1	Older	North America		Nickerson et al B				
NZL/20VR0999/2020	2020-03-16	1.00	19B	New Zealand		New Zealand		202012	MZ331902	Homo sapiens	A.1	Older	Oceania		Geoghegan et al D			Institute of Environmental Science and Research	
USA/WA-S234/2020	2020-02-28		19B	USA		Washington		202009	MT632567	Homo sapiens	A.1	Older	North America		Nickerson et al C				
USA/VT-CDC-0303/2020	2020-03-05		19B	USA		Vermont		202010	MT472623	Homo sapiens	A.1	Older	North America		Queen et al C				
USA/NC-CDC-6999/2020	2020-03-06		19B	USA		North Carolina		202010	MT325591	Homo sapiens	A.1	Older	North America		Li et al B				
NZL/20VR2535/2020	2020-03-26		19B	New Zealand		New Zealand		202013	MZ332261	Homo sapiens	A.1	Older	Oceania		Geoghegan et al E			Institute of Environmental Science and Research	
AUS/TAS125/2020	2020-03-29		19B	Australia		Tasmania		202014	MT973447	Homo sapiens	A.1	Older	Oceania		Sait et al S		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS65/2020	2020-03-18		19B	Australia		Tasmania		202012	MT973399	Homo sapiens	A.1	Older	Oceania		Sait et al T		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS63/2020	2020-03-23		19B	Australia		Tasmania		202013	MT973397	Homo sapiens	A.1	Older	Oceania		Sait et al U		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC13/2020	2020-01-31		19B	Australia		Victoria		202005	MT450930	Homo sapiens	B	Older	Oceania		Seemann et al G		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC07/2020	2020-02-08		19B	Australia		Victoria		202006	MT450924	Homo sapiens	A	Older	Oceania		Seemann et al H		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
GHA/2828_S6/2020	2020-03-29	2.00	19B	Ghana		Ghana		202014	MT890217	Homo sapiens	A.11	Older	Africa		Ngoi et al A				
MLI/UCRC31/2020	2020-03-31		19B	Mali		Mali		202014	MW474741	Homo sapiens	A	Older	Africa		Diarra et al A				
EGY/Egypt-Army-Thirdwave347/2021	2021-05-02	3.00	19B	Egypt		Egypt		202118	MZ093196	Homo sapiens	A.28	Older	Africa		Seadawy et al A				
EGY/Egypt-Army-Thirdwave348/2021	2021-05-02	3.00	19B	Egypt		Egypt		202118	MZ093197	Homo sapiens	A.28	Older	Africa		Seadawy et al B				
EGY/Egypt-Army-Thirdwave349/2021	2021-05-02	3.00	19B	Egypt		Egypt		202118	MZ093198	Homo sapiens	A.28	Older	Africa		Seadawy et al C				
IND/GBRC102/2020	2020-04-27		19B	India		Gujarat		202018	MT509506	Homo sapiens	A	Older	Asia		Patel et al A				
ITA/PA-IZSBM194-11_2020/2020	2020-06-29		19B	Italy		Sicily		202027	MW340797	Homo sapiens	A	Older	Europe		Tramuto et al				
BEN/2012/2020	2020-04-15		19B	Benin		Benin		202016	MT653080	Homo sapiens	A	Older	Africa		Sander et al A				
GHA/84162_S45/2020	2020-04-25		19B	Ghana		Ghana		202017	MT890242	Homo sapiens	A	Older	Africa		Ngoi et al B				
GHA/84438_S50/2020	2020-05-24		19B	Ghana		Ghana		202022	MT890243	Homo sapiens	A	Older	Africa		Ngoi et al C				
AUS/QLD02/2020	2020-07-20		19B	Australia		Australia		202030	MW772455	Homo sapiens	A	Older	Oceania		Parry et al A				
huamn/CHN/CD-27553/2021	2021-03-16	4.00	19B	China		China		202111	MZ664556		A	Older	Asia		Peng et al				
KEN/C14075/2020	2020-06-03		19B	Kenya		Kenya		202023	MW751362	Homo sapiens	A	Older	Africa		Githinji et al A				
UZB/hCoV-19-Uzb-CGB-25/2020	2020-12-07	2.00	19B	Uzbekistan		Tashkent		202050	MW853569	Homo sapiens	A.24	Older	Asia		Ayubov et al A				
UGA/MAKCHScov6/2020	2020-09-30	3.00	19B	Uganda		Uganda		202040	MZ287350	Homo sapiens	A	Older	Africa		Mwesigwa et al A				
UGA/MAKCHScov5/2020	2020-09-30	3.00	19B	Uganda		Uganda		202040	MZ287363	Homo sapiens	A	Older	Africa		Mwesigwa et al B				
UGA/MAKCHScov18/2020	2020-11-08	5.00	19B	Uganda		Uganda		202046	MZ287353	Homo sapiens	A.23.1	Older	Africa		Mwesigwa et al C				
UGA/MAKCHScov10/2021	2021-01-15	5.00	19B	Uganda		Uganda		202102	MZ287371	Homo sapiens	A.23.1	Older	Africa		Mwesigwa et al D				
UGA/MAKCHScov11/2021	2021-01-25	4.00	19B	Uganda		Uganda		202104	MZ287351	Homo sapiens	A.23.1	Older	Africa		Mwesigwa et al E				
AUS/NT42/2020	2020-05-01	1.00	19A	Australia		Northern Territory		202018	MT641765	Homo sapiens	B	Older	Oceania		Caly et al Q		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
FRA/BavPat1/2020	2020-04-20	2.00	19A	France		France		202017	MT594401	Homo sapiens	B.1.153	Older	Europe		Shannon et al				
DEU/BavPat1-ChVir929/2020	2020-01-28	1.00	19A	Germany		Bavaria		202005	MT270101	Homo sapiens	B.1	Older	Europe		Boehmer et al				
BHR/920319237_S17_L001/2020	2020-07-26	2.00	19A	Bahrain		Bahrain		202031	MW228056	Homo sapiens	B.1	Older	Asia		AlWasti et al A				
EGY/Egy-S014/2020	2020-08-01	1.00	19A	Egypt		Egypt		202031	MT905426	Homo sapiens	B.1	Older	Africa		Seadawy et al D				
EGY/EGY-138/2020	2020-08-29	1.00	19A	Egypt		Egypt		202035	MT994978	Homo sapiens	B.1	Older	Africa		Seadawy et al E				
USA/SC-QDX-3420/2020	2020-11-12	1.00	19A	USA		South Carolina		202046	MW521779	Homo sapiens	B.1.110.3	Older	North America		Rosenthal et al C				
AUS/NT10/2020	2020-03-26	2.00	19A	Australia		Northern Territory		202013	MT641655	Homo sapiens	B.1.110	Older	Oceania		Caly et al R		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
CHL/Santiago-PUC_MVL_0053/2020	2020-03-23	1.00	19A	Chile		Chile		202013	MW365166	Homo sapiens	B.1.110	Older	South America		Direct Submission et al A				
CHL/Talagante-PUC_MVL_0118/2020	2020-04-02	1.00	19A	Chile		Chile		202014	MW364999	Homo sapiens	B.1.110	Older	South America		Direct Submission et al B				
CHL/Santiago-PUC_MVL_0031/2020	2020-03-25	1.00	19A	Chile		Chile		202013	MW365198	Homo sapiens	B.1.110	Older	South America		Direct Submission et al C				
Netherlands/Gelderland_120/2020	2020-05-22	2.00	19A	Netherlands		Netherlands		202021	LR883154	Homo sapiens	B.1.22	Older	Europe		Oude Munnink et al A			EBI	
USA/OH-UHTL-16/2020	2020-05-07	1.00	19A	USA		Ohio		202019	MW584912	Homo sapiens	B.1	Older	North America		Sadri et al				
NZL/20VR2498/2020	2020-03-24	1.00	19A	New Zealand		New Zealand		202013	MZ332234	Homo sapiens	B.1	Older	Oceania		Geoghegan et al F			Institute of Environmental Science and Research	
USA/257-NP-OP/2020	2020-05-08	1.00	19A	USA		Pennsylvania		202019	MW001269	Homo sapiens	B.1	Older	North America		Everett et al A				
TUN/TUN_ADAGE_5004/2020	2020-07-09	2.00	19A	Tunisia		Tunisia		202028	MT955174	Homo sapiens	B.1.597	Older	Africa		Souissi et al A				
