Author	n (strains)	publication title	journal	publication URL	strains
Jeong-Min Kim et al	8	unknown	unknown	unknown	SouthKorea/KCDC2060/2020,SouthKorea/KCDC2102/2020,SouthKorea/KCDC2002/2020,SouthKorea/KCDC07/2020,SouthKorea/KCDC06/2020,SouthKorea/KCDC2740/2020,SouthKorea/KCDC2131/2020,SouthKorea/KCDC2638/2020
M.E. Quiñones-Mateu et al	2	unknown	unknown	unknown	NewZealand/CoV002/2020,NewZealand/CoV001/2020
Jaqueline Goes de Jesus et al	2	First cases of coronavirus disease (COVID-19) in Brazil, South America	unknown	https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409	Brazil/SP-02/2020,Brazil/SP-01/2020
Soares da Silva et al	1	unknown	unknown	unknown	Timor-Leste/TL25/2020
Alexandra Popa et al A	2	unknown	unknown	unknown	Austria/CeMM0907/2020,Austria/CeMM0977/2020
Vireak Heang et al	1	unknown	unknown	unknown	Cambodia/5401/2020
Kowalski et al	1	unknown	unknown	unknown	Poland/PL_MCB_10/2020
Helena Kovaříková et al	1	unknown	unknown	unknown	CzechRepublic/FNHK-090/2020
Issa Abu-Dayyeh et al	33	unknown	unknown	unknown	Jordan/SR-051/2020,Jordan/AM-Biolab022/2021,Jordan/MA-ALSR-2581/2020,Jordan/SR-047/2020,Jordan/AQ-Biolab040/2021,Jordan/IR-Biolab041/2021,Jordan/Biolab033/2021,Jordan/AM-ALSR-2579/2020,Jordan/AM-ALSR-2586/2020,Jordan/AM-Biolab021/2021,Jordan/Biolab020/2021,Jordan/AM-ALSR-5312/2020,Jordan/SEARCH-5447/2020,Jordan/SEARCH-5464/2020,Jordan/SEARCH-5455/2020,Jordan/Biolab027/2021,Jordan/AM-Biolab010/2021,Jordan/AZ-Biolab038/2021,Jordan/AZ-Biolab039/2021,Jordan/SR-045/2020,Jordan/SR-054/2020,Jordan/Biolab036/2021,Jordan/Biolab023/2021,Jordan/Biolab005/2021,Jordan/AM-Biolab008/2021,Jordan/Biolab034/2021,Jordan/AM-Biolab042/2021,Jordan/Biolab029/2021,Jordan/Biolab031/2021,Jordan/Biolab037/2021,Jordan/Biolab024/2021,Jordan/AM-Biolab006/2021,Jordan/Biolab026/2021
Ying Tao et al	3	unknown	unknown	unknown	USA/OR_2656/2020,USA/IA-CDC-4042/2020,USA/WI-CDC-2-4171884/2021
Alexa K Dowdell et al	1	Genomic heterogeneity and clinical characterization of SARS-CoV-2 in Oregon	unknown	https://www.medrxiv.org/content/10.1101/2020.07.30.20160069v1	USA/OR-PROV-029/2020
Lukasz Rabalski et al	7	unknown	unknown	unknown	Poland/Pom1/2020,Poland/Mazowieckie_MWB_211/2021,Poland/Mazowieckie_MWB_226/2021,Poland/Pomorskie_MWB_114/2021,Poland/Pomorskie_MWB_1/2020,mink/Poland/Pomorskie_46/2020,mink/Poland/Pomorskie_76/2020
WCMQ: Ayeda A. Ahmed et al	6	unknown	unknown	unknown	Qatar/QA-WCMQ_FD15617907/2020,Qatar/QA-WCMQ_FD17571320/2020,Qatar/QA-WCMQ_FD15506590/2020,Qatar/QA-WCMQ_FD18163133/2020,Qatar/QA-WCMQ_FD15649701/2020,Qatar/QA-WCMQ_FD17462385/2020
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Nepal/61/2020
Cao et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Vietnam/19-01S/2020
Nagy et al	6	unknown	unknown	unknown	CzechRepublic/NRL_4262/2020,CzechRepublic/NRL-765/2021,CzechRepublic/NRL_11190/2020,CzechRepublic/NRL_8118-5/2020,CzechRepublic/NRL_599/2021,CzechRepublic/NRL-2249/2021
David Nieuwenhuijse et al A	1	Rapid SARS-CoV-2 whole genome sequencing for informed public health decision making in the Netherlands	unknown	https://dx.doi.org/10.1038/s41591-020-0997-y	Netherlands/ZuidHolland_27/2020
Jun Li et al	1	unknown	unknown	unknown	Hangzhou/HZCDC0091/2020
Erik A Karlsson et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Cambodia/0012/2020
Daniel F Gudbjartsson et al B	2	unknown	unknown	unknown	Iceland/886/2020,Iceland/5325/2020
Frilasita A Yudhaputri et al	4	unknown	unknown	unknown	Indonesia/JK-EIJK-40/2020,Indonesia/JK-EIJK-39/2020,Indonesia/BA-EIJK-UNWAR-136/2021,Indonesia/JK-EIJK76/2020
Teemu Smura et al	16	unknown	unknown	unknown	Finland/1/2020,Finland/HEL-18-V138/2021,Finland/HEL-11-V19/2021,Finland/9A18S12/2020,Finland/2TouS3G10/2020,Finland/20MS1D3/2020,Finland/HEL-12-87/2021,Finland/1183/2021,Finland/4816/2021,Finland/HEL-14-390/2021,Finland/2262/2021,Finland/1483/2021,Finland/4714/2021,Finland/1786/2021,Finland/4128/2021,Finland/1295/2021
Adam Meijer et al	178	unknown	unknown	unknown	Curacao/CW-RIVM-10309/2020,Curacao/CW-RIVM-10308/2020,Curacao/CW-RIVM-10100/2020,Suriname/SR-RIVM-22457/2021,Aruba/AW-RIVM-11559/2021,Aruba/AW-RIVM-14900/2021,Aruba/AW-RIVM-11427/2021,Curacao/CW-RIVM-10365/2020,Curacao/CW-RIVM-10364/2020,Curacao/CW-RIVM-10366/2020,Aruba/AW-RIVM-11736/2021,Curacao/CW-RIVM-21726/2020,Curacao/CW-RIVM-21731/2020,Curacao/CW-RIVM-21709/2020,Curacao/CW-RIVM-21710/2020,Curacao/CW-RIVM-21725/2020,Curacao/CW-RIVM-30433/2021,Curacao/CW-RIVM-21718/2020,Aruba/AW-RIVM-13176/2021,Suriname/SR-RIVM-22525/2021,Curacao/CW-RIVM-13014/2021,Netherlands/FR-RIVM-13814/2021,Aruba/AW-RIVM-16082/2021,Curacao/CW-RIVM-21704/2020,Curacao/CW-RIVM-21723/2020,Curacao/CW-RIVM-11644/2021,Curacao/CW-RIVM-27993/2021,Curacao/CW-RIVM-28020/2021,Curacao/CW-RIVM-11588/2021,Curacao/CW-RIVM-21730/2020,Curacao/CW-RIVM-11649/2021,Curacao/CW-RIVM-13016/2021,Curacao/CW-RIVM-13015/2021,Aruba/AW-RIVM-11743/2021,Bonaire/BQ-RIVM-15965/2021,Bonaire/BQ-RIVM-15957/2021,Bonaire/BQ-RIVM-16957/2021,Bonaire/BQ-RIVM-16187/2021,Bonaire/BQ-RIVM-15574/2021,Bonaire/BQ-RIVM-15654/2021,Curacao/CW-RIVM-30491/2021,Aruba/AW-RIVM-14922/2021,SintMaarten/SX-RIVM-31343/2021,Aruba/AW-RIVM-10115/2020,Aruba/AW-RIVM-10752/2021,Aruba/AW-RIVM-10520/2021,SintMaarten/SX-RIVM-10806/2021,Aruba/AW-RIVM-11602/2021,Aruba/AW-RIVM-11601/2021,Aruba/AW-RIVM-11404/2021,Aruba/AW-RIVM-11403/2021,Aruba/AW-RIVM-30224/2021,Aruba/AW-RIVM-31206/2021,Aruba/AW-RIVM-31170/2021,Aruba/AW-RIVM-31229/2021,Aruba/AW-RIVM-31183/2021,Aruba/AW-RIVM-10113/2020,Aruba/AW-RIVM-22240/2021,Suriname/SR-RIVM-22492/2021,Suriname/SR-RIVM-22470/2021,Aruba/AW-RIVM-19144/2021,Curacao/CW-RIVM-11646/2021,Curacao/CW-RIVM-11642/2021,Curacao/CW-RIVM-11655/2021,Curacao/CW-RIVM-13550/2021,Curacao/CW-RIVM-15605/2021,Aruba/AW-RIVM-11595/2021,Curacao/CW-RIVM-13017/2021,Aruba/AW-RIVM-11592/2021,Aruba/AW-RIVM-11392/2021,Aruba/AW-RIVM-17590/2021,Aruba/AW-RIVM-10522/2021,Aruba/AW-RIVM-11605/2021,Aruba/AW-RIVM-11741/2021,Aruba/AW-RIVM-11734/2021,Aruba/AW-RIVM-11561/2021,Aruba/AW-RIVM-11597/2021,Aruba/AW-RIVM-11387/2021,Aruba/AW-RIVM-11738/2021,Aruba/AW-RIVM-14459/2021,Curacao/CW-RIVM-11653/2021,Suriname/SR-RIVM-22500/2021,Suriname/SR-RIVM-22465/2021,Netherlands/LI-RIVM-24935/2021,Suriname/SR-RIVM-22481/2021,Suriname/SR-RIVM-22553/2021,Suriname/SR-RIVM-22534/2021,Suriname/SR-RIVM-22537/2021,Suriname/SR-RIVM-22455/2021,Suriname/SR-RIVM-22516/2021,Suriname/SR-RIVM-22514/2021,Suriname/SR-RIVM-22539/2021,Suriname/SR-RIVM-22456/2021,Suriname/SR-RIVM-22511/2021,Suriname/SR-RIVM-22596/2021,Aruba/AW-RIVM-31194/2021,Aruba/AW-RIVM-20176/2021,Curacao/CW-RIVM-11648/2021,Netherlands/NB-RIVM-31023/2021,Aruba/AW-RIVM-14524/2021,Aruba/AW-RIVM-31207/2021,Netherlands/NB-RIVM-22797/2021,Netherlands/NB-RIVM-17236/2021,Netherlands/LI-RIVM-15934/2021,Curacao/CW-RIVM-27028/2021,Netherlands/ZE-RIVM-20935/2021,Aruba/AW-RIVM-31158/2021,Aruba/AW-RIVM-25520/2021,Aruba/AW-RIVM-26379/2021,Aruba/AW-RIVM-28092/2021,Aruba/AW-RIVM-31159/2021,Aruba/AW-RIVM-15860/2021,Aruba/AW-RIVM-27730/2021,Aruba/AW-RIVM-28082/2021,Aruba/AW-RIVM-22213/2021,Aruba/AW-RIVM-31216/2021,Aruba/AW-RIVM-23291/2021,Aruba/AW-RIVM-17614/2021,Curacao/CW-RIVM-16517/2021,Curacao/CW-RIVM-16558/2021,Netherlands/UT-RIVM-30302/2021,Netherlands/NH-RIVM-29676/2021,Aruba/AW-RIVM-16084/2021,Netherlands/NH-RIVM-19805/2021,Netherlands/NH-RIVM-22129/2021,Netherlands/GE-RIVM-19695/2021,Aruba/AW-RIVM-18327/2021,Curacao/CW-RIVM-15596/2021,Curacao/CW-RIVM-29949/2021,Curacao/CW-RIVM-30460/2021,Bonaire/BQ-RIVM-16958/2021,Bonaire/BQ-RIVM-21024/2021,Bonaire/BQ-RIVM-22613/2021,Bonaire/BQ-RIVM-25778/2021,Bonaire/BQ-RIVM-15620/2021,Bonaire/BQ-RIVM-15608/2021,Bonaire/BQ-RIVM-22591/2021,Bonaire/BQ-RIVM-25812/2021,Curacao/CW-RIVM-26906/2021,Curacao/CW-RIVM-16533/2021,Curacao/CW-RIVM-19574/2021,Curacao/CW-RIVM-29963/2021,Bonaire/BQ-RIVM-21045/2021,Bonaire/BQ-RIVM-17611/2021,Bonaire/BQ-RIVM-27422/2021,Bonaire/BQ-RIVM-15597/2021,Bonaire/BQ-RIVM-25795/2021,Bonaire/BQ-RIVM-27398/2021,Bonaire/BQ-RIVM-27410/2021,Bonaire/BQ-RIVM-25828/2021,Bonaire/BQ-RIVM-16201/2021,Curacao/CW-RIVM-15584/2021,Bonaire/BQ-RIVM-16935/2021,Bonaire/BQ-RIVM-16965/2021,Bonaire/BQ-RIVM-16944/2021,Curacao/CW-RIVM-18440/2021,Bonaire/BQ-RIVM-17587/2021,Bonaire/BQ-RIVM-17553/2021,Bonaire/BQ-RIVM-25820/2021,Curacao/CW-RIVM-15650/2021,Bonaire/BQ-RIVM-17575/2021,Curacao/CW-RIVM-21679/2021,Curacao/CW-RIVM-25506/2021,Aruba/AW-RIVM-27507/2021,Curacao/CW-RIVM-29951/2021,Curacao/CW-RIVM-18427/2021,Curacao/CW-RIVM-30402/2021,Curacao/CW-RIVM-30382/2021,Curacao/CW-RIVM-30453/2021,Bonaire/BQ-RIVM-27386/2021,Curacao/CW-RIVM-26995/2021,Curacao/CW-RIVM-19618/2021,Curacao/CW-RIVM-26884/2021,Curacao/CW-RIVM-25472/2021,Curacao/CW-RIVM-25460/2021,Curacao/CW-RIVM-29972/2021,Curacao/CW-RIVM-29940/2021,SintMaarten/SX-RIVM-31331/2021
Souleymane MBOUP et al	15	unknown	unknown	unknown	Senegal/SN-MBO-201670/2020,Senegal/SN-MBO-211938/2021,Senegal/SN-MBO-201838/2021,Senegal/SN-MBO-201893/2021,Senegal/SN-EP-MBO-38/2021,Senegal/SN-IRLPC-452/2021,Senegal/SN-MBO-201840/2021,Senegal/SN-MBO-201824/2021,Senegal/SC20-5422/2020,Senegal/SC20-5112/2020,Senegal/SN-MBO-201758/2021,Senegal/SN-IR2-0016180/2021,Senegal/SN-RUF-21-5806/2021,Senegal/SN-RUF-21-5803/2021,Senegal/SN-THI-POP-6541/2021
Shiou-Hwei Yeh et al	15	unknown	unknown	unknown	Taiwan/NTU27/2020,Taiwan/NTU29/2020,Taiwan/NTU58/2021,Taiwan/NTU59/2021,Taiwan/NTU51/2021,Taiwan/NTU05/2020,Taiwan/NTU53/2021,Taiwan/NTU56/2021,Taiwan/NTU57/2021,Taiwan/NTU60/2021,Taiwan/NTU30/2020,Taiwan/NTU33/2020,Taiwan/NTU54/2021,Taiwan/NTU61/2021,Taiwan/NTU62/2021
Agustiningsih et al	1	unknown	unknown	unknown	Indonesia/JK-NIHRD-C0023408/2020
Caly L. et al B	16	unknown	unknown	unknown	Australia/VIC15/2020,Australia/VIC18114/2021,Australia/VIC18447/2021,Australia/VIC18453/2021,Australia/VIC18014/2020,Australia/VIC18383/2021,Australia/VIC18199/2021,Australia/VIC18481/2021,Australia/VIC17991/2020,Australia/VIC18116/2021,Australia/VIC18433/2021,Australia/VIC18164/2021,Australia/VIC18165/2021,Australia/VIC18354/2021,Australia/VIC18321/2021,Australia/VIC18267/2021
Inbar Cohen-Gihon et al	1	Full genome viral sequences inform patterns of SARS-CoV-2 spread into and within Israel	unknown	https://dx.doi.org/10.1101/2020.05.21.20104521	Israel/ISR_JP0320/2020
Tsuyoshi Sekizuka et al B	1	Haplotype networks of SARS-CoV-2 infections in the Diamond Princess cruise ship outbreak	unknown	https://dx.doi.org/10.1101/2020.03.23.20041970	Japan/DP0699/2020
Chisha Sikazwe et al	2	unknown	unknown	unknown	Australia/WA11/2020,Australia/WA34/2020
Gopi Patel et al	1	Introductions and early spread of SARS-CoV-2 in the New York City area	unknown	https://dx.doi.org/10.1101/2020.04.08.20056929	USA/NY1-PV08001/2020
Bas Oude Munnink et al	14	unknown	unknown	unknown	Bahrain/BAH-01/2020,Bahrain/BAH-11/2020,Bahrain/BAH-08/2020,Suriname/SR-16/2020,Suriname/SR-26/2020,Suriname/SR-13/2020,Suriname/SR-05/2020,Suriname/SR-48/2020,Suriname/SR-69/2020,Netherlands/ZH-EMC-655/2020,Netherlands/NH-EMC-87/2020,Netherlands/ZH-EMC-416/2020,Netherlands/GE-EMC-533/2021,Netherlands/ZH-EMC-2650/2021
Sandrine Moreira et al	4	unknown	unknown	unknown	Canada/Qc-LSPQ-L00210314/2020,Canada/Qc-LAV-S9204119/2021,Canada/QC-HCLM-7056258216/2021,Canada/QC-L00321969/2021
Chandima Jeewandara et al A	1	Evolutionary and genomic analysis of four SARS-CoV-2 isolates circulating in March 2020 in Sri Lanka; Additional evidence on multiple introduction and further transmission	unknown	https://dx.doi.org/10.21203/rs.3.rs-44134/v1	SriLanka/COV38/2020
Chandima Jeewandara et al B	18	unknown	unknown	unknown	SriLanka/CDR142/2020,SriLanka/STF103572/2021,SriLanka/C27337/2020,SriLanka/CMC87140/2021,SriLanka/CDRW12/2021,SriLanka/C28338/2020,SriLanka/N22/2021,SriLanka/MAT43/2021,SriLanka/CDR56/2021,SriLanka/CMC83433/2021,SriLanka/CA99150/2021,SriLanka/CDRS33/2021,SriLanka/CA103848/2021,SriLanka/CMC68909/2021,SriLanka/CVQ87412/2021,SriLanka/CDR48/2021,SriLanka/CDR95/2021,SriLanka/CDR74/2021
Rita Feghali et al	2	unknown	unknown	unknown	Lebanon/S5_762/2020,Lebanon/S8_767/2020
Fahd Al-Mulla et al	2	unknown	unknown	unknown	Kuwait/KU09/2020,Kuwait/KU008/2020
Samira Al-Maruqi et al	2	unknown	unknown	unknown	Oman/RESP-20-797/2020,Oman/RESP-20-6417/2020
Matt Storey et al B	1	An emergent clade of SARS-CoV-2 linked to returned travellers from Iran	unknown	https://dx.doi.org/10.1101/2020.03.15.992818	NewZealand/20VR0174/2020
Zohreh Fattahi et al	3	unknown	unknown	unknown	Iran/1600/2020,Iran/2297/2020,Iran/2024/2020
Andani Eka Putra et al	3	unknown	unknown	unknown	Indonesia/SB_9/2020,Indonesia/JBUA-2-FKUA/2021,Indonesia/BEUA-3-FKUA/2021
Pramod Kumar# et al	1	unknown	unknown	unknown	India/DL-NCDC7717-CSIR-IGIB/2020
Xiaoyun Ren et al	58	unknown	unknown	unknown	NewZealand/20CV0306/2020,NewZealand/21CV0035/2020,NewZealand/20VR1803/2020,NewZealand/20VR3128/2020,NewZealand/20VR3476/2020,NewZealand/20CV0479/2020,NewZealand/20CV0408/2020,NewZealand/20CV0409/2020,NewZealand/20CV0435/2020,NewZealand/20CV0558/2020,NewZealand/21CV0020/2020,NewZealand/20VR3494/2020,NewZealand/20CV0223/2020,NewZealand/20CV0332/2020,NewZealand/20CV0362/2020,NewZealand/20CV0628/2020,NewZealand/21CV0188/2021,NewZealand/20CV0265/2020,NewZealand/20CV0283/2020,NewZealand/20VR3210/2020,NewZealand/20CV0273/2020,NewZealand/20CV0426/2020,NewZealand/21CV0115/2021,NewZealand/21CV0116/2021,NewZealand/20CV0638/2020,NewZealand/21MV0077/2021,NewZealand/21CV0098/2021,NewZealand/20CV0674/2020,NewZealand/20CV0675/2020,NewZealand/20VR3096/2020,NewZealand/21CV0124/2021,NewZealand/21CV0121/2021,NewZealand/21CV0118/2021,NewZealand/21MV0006/2021,NewZealand/21CV0140/2021,NewZealand/21CV0126/2021,NewZealand/20CV0124/2020,NewZealand/20VR3802/2020,NewZealand/20VR3804/2020,NewZealand/20VR3828/2020,NewZealand/21MV0005/2021,NewZealand/20CV0499/2020,NewZealand/20CV0404/2020,NewZealand/20CV0405/2020,NewZealand/20VR3119/2020,NewZealand/20CV0285/2020,NewZealand/20CV0281/2020,NewZealand/21CV0047/2021,NewZealand/21CV0014/2021,NewZealand/21CV0128/2021,NewZealand/20CV0687/2020,NewZealand/21CV0068/2021,NewZealand/21CV0032/2021,NewZealand/21MV0008/2021,NewZealand/21CV0154/2021,NewZealand/21CV0133/2021,NewZealand/21CV0142/2021,NewZealand/21CV0010/2021
Medado et al	2	unknown	unknown	unknown	Philippines/RITM-03/2020,Philippines/RITM-07/2020
Carlo M. Lapid et al	1	unknown	unknown	unknown	Philippines/PGC04/2020
Ali et al	1	unknown	unknown	unknown	Pakistan/KP-RMI-01/2020
Suppiah J et al	31	unknown	unknown	unknown	Malaysia/IMR-WC9185/2020,Malaysia/IMR-WC197307/2020,Malaysia/IMR_WI330/2020,Malaysia/IMR_19888925/2021,Malaysia/IMR_WC66247/2021,Malaysia/IMR_016383/2021,Malaysia/IMR_19886423/2021,Malaysia/IMR_WC169785/2021,Malaysia/IMR_WC130430/2021,Malaysia/IMR_WC107223/2021,Malaysia/IMR_WI019/2021,Malaysia/IMR-WC280757/2020,Malaysia/IMR_WC142870/2021,Malaysia/IMR_WC196028/2021,Malaysia/IMR_WC242932/2021,Malaysia/IMR_WC355231/2020,Malaysia/IMR_WC105194/2021,Malaysia/IMR_015522/2021,Malaysia/IMR_UCSI_Y851/2021,Malaysia/IMR_WC91649/2021,Malaysia/IMR_WPM015/2021,Malaysia/IMR_WC112952/2021,Malaysia/IMR_MKAKB715439/2021,Malaysia/IMR_WC100111/2021,Malaysia/IMR_WC243006/2021,Malaysia/IMR_WC242591/2021,Malaysia/IMR_WC124327/2021,Malaysia/IMR_WC112765/2021,Malaysia/IMR-WI093/2020,Malaysia/IMR-WI112/2020,Malaysia/IMR-WI123/2020
Yoong Min CHONG et al	1	unknown	unknown	unknown	Malaysia/5815/2020
Mak TM et al	6	unknown	unknown	unknown	Singapore/667/2020,Singapore/225/2020,Singapore/347/2020,Singapore/381/2020,Singapore/264/2020,Singapore/964/2020
Mak Tze Minn et al	2	unknown	unknown	unknown	Brunei/4/2020,Brunei/5/2020
Foster et al	35	unknown	unknown	unknown	Australia/NSW2308/2020,Australia/NSW-R0187/2021,Australia/NSW4374/2021,Australia/NSW-R0257/2021,Australia/NSW-R0264/2021,Australia/NSW4605/2021,Australia/NSW-R0243/2021,Australia/NSW-R0240/2021,Australia/NSW-R0255/2021,Australia/NSW3905/2021,Australia/NSW-R0017/2021,Australia/NSW4136/2021,Australia/NSW-R0071/2021,Australia/NSW-R0225/2021,Australia/NSW-R0065/2021,Australia/NSW-R0064/2021,Australia/NSW-R0093/2021,Australia/NSW4473/2021,Australia/NSW4454/2021,Australia/NSW4291/2021,Australia/NSW-R0123/2021,Australia/NSW-R0246/2021,Australia/NSW-R0178/2021,Australia/NSW4407/2021,Australia/NSW-R0216/2021,Australia/NSW-R0267/2021,Australia/NSW-R0265/2021,Australia/NSW-R0251/2021,Australia/NSW-R0184/2021,Australia/NSW-R0066/2021,Australia/NSW-R0087/2021,Australia/NSW-R0118/2021,Australia/NSW-R0100/2021,Australia/NSW-R0086/2021,Australia/NSW4434/2021
Mohd Noor Mat Isa et al	2	unknown	unknown	unknown	Malaysia/MGI-MAEPS54/2020,Malaysia/MKAK-CL-2020-5096/2020
Kelvin K.W. To et al	5	unknown	unknown	unknown	HongKong/HKU-200723-105/2020,HongKong/HKU-210308-L16/2021,HongKong/HKU-210421-001/2021,HongKong/HKU-201216-107/2020,HongKong/HKU-201216-245/2020
Goba et al	1	unknown	unknown	unknown	SierraLeone/KGH-G-8604/2020
